t_ms,x_mm,y_mm,yaw_deg
103179,4149,868,-211.6
103279,4121,884,-206.8
103379,4092,898,-206.5
103479,4063,912,-204.7
103579,4034,924,-201.1
103679,4010,933,-197.2
103780,3993,937,-192.0
103880,3979,939,-186.6
103979,3964,941,-183.7
104080,3946,942,-181.9
104179,3916,942,-177.9
104279,3880,938,-170.7
104379,3843,930,-164.7
104479,3812,920,-162.7
104579,3781,911,-162.0
104680,3753,901,-158.5
104779,3725,887,-149.1
104879,3696,867,-139.7
104979,3673,844,-132.1
105080,3651,818,-126.6
105179,3630,786,-123.6
105279,3608,752,-121.6
105380,3587,715,-115.9
105479,3572,676,-106.3
105580,3564,637,-96.9
105679,3561,602,-92.8
105780,3561,571,-88.9
105878,3563,537,-84.1
105978,3567,505,-79.6
106078,3574,477,-73.3
106179,3581,457,-67.3
106279,3589,440,-63.5
106378,3596,427,-61.2
106478,3602,417,-58.7
106578,3609,406,-56.5
106678,3616,395,-55.8
106778,3625,382,-55.8
106879,3632,371,-54.4
106978,3643,357,-51.8
107078,3656,341,-51.6
107179,3669,324,-50.0
107279,3685,306,-48.9
107378,3707,281,-47.8
107479,3734,254,-42.0
107578,3764,230,-36.0
107679,3796,208,-32.3
107780,3829,188,-32.9
107878,3862,166,-33.4
107979,3897,143,-32.9
108078,3936,118,-31.7
108179,3981,91,-31.8
108278,4029,60,-34.3
108378,4075,26,-36.8
108479,4122,-6,-33.9
108579,4168,-36,-32.5
108679,4214,-64,-31.3
108796,4261,-94,-32.7
